date,title,amount
2025-02-11,Supermercado Big Lar,4.00
2025-02-11,Renegociação de pendências (11/Fevereiro),1585.60
2025-02-11,Matrix Postos de Combu,15.75
2025-02-11,Encerramento de dívida,-0.54
2025-02-11,Encerramento de dívida,0.82
2025-02-11,Renegociação de pendências (11/Fevereiro),-2676.43
2025-02-11,Encerramento de dívida,-0.82
2025-02-11,Encerramento de dívida,0.54
2025-02-11,Estorno de juros da dívida encerrada,-0.54
2025-02-11,Estorno de juros da dívida encerrada,-0.82
2025-02-08,Amazonia Petroleo,16.00
2025-02-07,Comper,48.74
2025-02-07,Loja do Borracheiro - Parcela 1/5,87.16
2025-02-05,Pagamento recebido,-1000.00
2025-02-04,Comercial Multicasa - Parcela 2/2,79.45
2025-02-04,Pg *Ton Wires Othon - Parcela 4/12,458.33
2025-02-04,Aguas Cuiaba*Aguas Igu - Parcela 2/5,27.91
2025-02-04,Bmb*Energisa - Parcela 5/5,173.82
2025-02-04,Ricardo Esportes - Parcela 5/12,249.99
2025-02-04,Bmb*Energisa - Parcela 2/3,245.50
2025-02-04,Rei Tintas Cuiaba - Parcela 2/2,129.00
