date,title,amount
2025-05-11,Supermercado Big Lar,60.06
2025-05-11,Ifd*Rock Amor e Pizza,127.01
2025-05-11,Sos Servicos,30.00
2025-05-11,Solucao Cosmeticos,44.65
2025-05-10,Drogaria Sao Paulo,110.99
2025-05-10,Mik Distribuidora de B,22.00
2025-05-10,Amazonia,16.50
2025-05-10,Brasil Postal,42.70
2025-05-09,Espacolaser.*P9espacol,153.47
2025-05-09,Espaco Ice Laser,79.99
2025-05-08,Assai Atacadista Lj192,79.42
2025-05-08,Eversonaugusto,10.00
2025-05-08,Subway Galeria Cuiaba,53.50
2025-05-08,Comercialitalia,55.39
2025-05-07,Mik Distribuidora de B,19.50
2025-05-07,Matrix Postos de Combu,10.00
2025-05-07,Supermercado Big Lar,26.67
2025-05-07,Ancar,14.00
2025-05-06,Cobranca Energisa,131.64
2025-05-06,Net Pgt*Fatura Claro,122.52
2025-05-06,Claro,39.90
2025-05-06,Aguas Cuiaba*Aguas Igu,73.57
2025-05-06,Claro P*Fatura Claro,55.13
2025-05-06,Uber* Trip,35.43
2025-05-06,Amazonia Petroleo,10.00
2025-05-05,Amazonia Petroleo,10.00
2025-05-05,Bmb*Energisa,669.04
2025-05-05,Rdsaude Online,117.99
2025-05-05,Comper Mt,77.40
2025-05-05,Amazonia Petroleo,16.50
2025-05-05,Subway Galeria Cuiaba,24.50
2025-05-04,Real Presentes - Parcela 3/3,56.66
2025-05-04,Bmb*Energisa - Parcela 3/5,191.33
2025-05-04,Pg *Toro Investimentos - Parcela 3/12,13.90
2025-05-04,Estudacom - Parcela 3/6,29.90
2025-05-04,Pagamento recebido,-2325.21
2025-05-04,Loja do Borracheiro - Parcela 2/6,84.17
2025-05-04,Pg *Ton Wires Othon - Parcela 7/12,458.33
2025-05-04,Kabum - Parcela 2/10,215.60
2025-05-04,Aguas Cuiaba*Aguas Igu - Parcela 5/5,27.91
2025-05-04,Ricardo Esportes - Parcela 8/12,249.99
2025-05-04,Footwear Carvalho - Parcela 2/6,124.98
2025-05-04,Petz Fernando Correa - Parcela 3/4,80.24
2025-05-04,S V Comercio de Presen - Parcela 3/3,15.99
2025-05-04,Loja do Borracheiro - Parcela 4/5,87.15
2025-05-04,Petz Fernando Correa - Parcela 2/4,66.24
