date,title,amount
2025-04-03,Pagamento recebido,-2200.00
2025-03-10,Comper Mt,57.05
2025-03-10,Real Presentes - Parcela 1/3,56.66
2025-03-10,Supermercado Big Lar,58.13
2025-03-10,Assai Atacadista Lj192,71.99
2025-03-09,S V Comercio de Presen - Parcela 1/3,16.00
2025-03-09,Petz Fernando Correa - Parcela 1/4,80.26
2025-03-08,Pg *Toro Investimentos - Parcela 1/12,13.90
2025-03-08,Zp*Montagem de Moveis,175.42
2025-03-07,Jessica Castro Confeit,16.00
2025-03-07,Matteogelatocriat,17.00
2025-03-07,Mercadolivre*Peddobra,96.04
2025-03-07,Mik Distribuidora de B,14.50
2025-03-07,Sesc Arsenal,72.60
2025-03-06,Bmb*Energisa - Parcela 1/5,191.34
2025-03-06,Espacolaser.*Espacolas,81.19
2025-03-06,Estudacom - Parcela 1/6,29.90
2025-03-06,Bmb*Energisa,351.32
2025-03-06,Espacolaser.*Espacolas,153.47
2025-03-06,Claro P*Fatura Claro,50.54
2025-03-06,Caminhao do Hulk Burgu,62.00
2025-03-05,Pagamento recebido,-3119.89
2025-03-04,Pg *Ton Wires Othon - Parcela 5/12,458.33
2025-03-04,Renegociação de pendências (11/Fevereiro),1585.60
2025-03-04,Aguas Cuiaba*Aguas Igu - Parcela 3/5,27.91
2025-03-04,Ricardo Esportes - Parcela 6/12,249.99
2025-03-04,Loja do Borracheiro - Parcela 2/5,87.15
2025-03-04,Bmb*Energisa - Parcela 3/3,245.50
